gen	accession	longitud_CDS_esperada_aa	ORFs_detectados	candidatos_posterior_superior_al_umbral	rango_CDS_esperado_top5	acierto
INS	NM_000207.3	110	6	2	2	si
HBB	NM_000518.5	147	12	2	1	si
TP53	NM_000546.6	393	76	10	1	si
BRCA1	NM_007294.4	1863	250	28	1	si
CFTR	NM_000492.4	1480	215	39	1	si
EGFR	NM_005228.5	1210	325	28	1	si
MYC	NM_002467.6	454	101	4	no aparece	no
ACTB	NM_001101.5	375	70	11	3	si
GAPDH	NM_002046.7	335	63	10	2	si
ALB	NM_000477.7	609	91	7	1	si
APOE	NM_000041.4	317	19	7	1	si
SOD1	NM_000454.5	154	31	1	1	si
TTR	NM_000371.4	147	26	2	1	si
LDHA	NM_005566.4	332	76	8	1	si
G6PD	NM_000402.4	545	78	13	3	si
